JOB_ID,STATUS,TOPOLOGY,IO_MODE,NODES,NX,NY,NZ,RUN_ID,STEPS,EXEC_S,SAVE_S,FLUSH_S
11525764,SUCESSO,3d,none,1,256,256,12288,3,40,253.51,0.00,0.00
11525762,SUCESSO,3d,none,1,256,256,12288,1,40,253.62,0.00,0.00
11525765,SUCESSO,3d,none,1,256,256,12288,4,40,253.56,0.00,0.00
11525763,SUCESSO,3d,none,1,256,256,12288,2,40,271.67,0.00,0.00
11525767,SUCESSO,3d,none,1,256,256,12288,6,40,253.46,0.00,0.00
11525766,SUCESSO,3d,none,1,256,256,12288,5,40,253.60,0.00,0.00
11525768,SUCESSO,3d,none,1,256,256,12288,7,40,253.73,0.00,0.00
11525769,SUCESSO,3d,none,1,256,256,12288,8,40,283.02,0.00,0.00
11525772,SUCESSO,3d,none,2,256,256,12288,1,40,127.65,0.00,0.00
11525773,SUCESSO,3d,none,2,256,256,12288,2,40,127.63,0.00,0.00
11525771,SUCESSO,3d,none,1,256,256,12288,10,40,253.47,0.00,0.00
11525770,SUCESSO,3d,none,1,256,256,12288,9,40,253.92,0.00,0.00
11525774,SUCESSO,3d,none,2,256,256,12288,3,40,127.65,0.00,0.00
11525775,SUCESSO,3d,none,2,256,256,12288,4,40,127.64,0.00,0.00
11525777,SUCESSO,3d,none,2,256,256,12288,6,40,127.61,0.00,0.00
11525776,SUCESSO,3d,none,2,256,256,12288,5,40,127.68,0.00,0.00
11525778,SUCESSO,3d,none,2,256,256,12288,7,40,127.65,0.00,0.00
11525784,FALHA,3d,none,4,256,256,12288,1,40,-,,
11525779,SUCESSO,3d,none,2,256,256,12288,8,40,127.67,0.00,0.00
11525780,SUCESSO,3d,none,2,256,256,12288,9,40,127.64,0.00,0.00
11525781,SUCESSO,3d,none,2,256,256,12288,10,40,127.65,0.00,0.00
11525786,SUCESSO,3d,none,4,256,256,12288,3,40,64.78,0.00,0.00
11525785,SUCESSO,3d,none,4,256,256,12288,2,40,76.09,0.00,0.00
11525787,FALHA,3d,none,4,256,256,12288,4,40,-,,
11525790,FALHA,3d,none,4,256,256,12288,6,40,-,,
11525789,FALHA,3d,none,4,256,256,12288,5,40,-,,
11525791,FALHA,3d,none,4,256,256,12288,7,40,-,,
11525794,SUCESSO,3d,none,4,256,256,12288,8,40,64.79,0.00,0.00
11525798,SUCESSO,3d,none,4,256,256,12288,10,40,64.79,0.00,0.00
11525797,SUCESSO,3d,none,4,256,256,12288,9,40,77.70,0.00,0.00
11525800,SUCESSO,3d,none,8,256,256,12288,1,40,47.96,0.00,0.00
11525801,SUCESSO,3d,none,8,256,256,12288,2,40,48.05,0.00,0.00
11525802,SUCESSO,3d,none,8,256,256,12288,3,40,33.16,0.00,0.00
11525805,SUCESSO,3d,none,8,256,256,12288,4,40,33.18,0.00,0.00
11525807,SUCESSO,3d,none,8,256,256,12288,6,40,33.20,0.00,0.00
11525806,SUCESSO,3d,none,8,256,256,12288,5,40,33.15,0.00,0.00
11525808,SUCESSO,3d,none,8,256,256,12288,7,40,33.16,0.00,0.00
11525809,SUCESSO,3d,none,8,256,256,12288,8,40,33.21,0.00,0.00
11525812,SUCESSO,3d,none,8,256,256,12288,10,40,33.21,0.00,0.00
11525810,SUCESSO,3d,none,8,256,256,12288,9,40,33.14,0.00,0.00
11525813,SUCESSO,3d,none,16,256,256,12288,1,40,17.38,0.00,0.00
11525814,SUCESSO,3d,none,16,256,256,12288,2,40,17.39,0.00,0.00
11525815,SUCESSO,3d,none,16,256,256,12288,3,40,17.37,0.00,0.00
11525817,SUCESSO,3d,none,16,256,256,12288,4,40,17.35,0.00,0.00
11525818,SUCESSO,3d,none,16,256,256,12288,5,40,17.39,0.00,0.00
11525819,SUCESSO,3d,none,16,256,256,12288,6,40,17.35,0.00,0.00
11525820,SUCESSO,3d,none,16,256,256,12288,7,40,17.39,0.00,0.00
11525824,SUCESSO,3d,none,16,256,256,12288,8,40,17.34,0.00,0.00
11525825,SUCESSO,3d,none,16,256,256,12288,9,40,17.41,0.00,0.00
11525826,SUCESSO,3d,none,16,256,256,12288,10,40,17.36,0.00,0.00
11530146,SUCESSO,3d,none,4,256,256,12288,5,40,75.32,0.00,0.00
11530145,SUCESSO,3d,none,4,256,256,12288,4,40,75.31,0.00,0.00
11530147,SUCESSO,3d,none,4,256,256,12288,6,40,75.36,0.00,0.00
11530144,SUCESSO,3d,none,4,256,256,12288,1,40,75.31,0.00,0.00
11530148,SUCESSO,3d,none,4,256,256,12288,7,40,64.76,0.00,0.00
